NAME,PREP TIME,SERVES,CALORIES,INGREDIENTS,MEASUREMENTS,DESCRIPTIONS,INSTRUCTIONS
Blueberry-Oat Breakfast Smoothie,5mins,2,210,"['½ cup (about 79.2 g)', '¼ cup (about 37.8 g)', '1 ½ cups (about 385.2 g)', '1 (about 120 g)', '15 g (about 1 ¾ tbsp)']","['½ cup (about 79.2 g)', '¼ cup (about 37.8 g)', '1 ½ cups (about 385.2 g)', '1 (about 120 g)', '15 g (about 1 ¾ tbsp)']","A thick blueberry smoothie with bananas, oats and cashews. Yum!","
Step preview


Add rolled oats, blueberries, almond milk, banana and cashew nuts to a clean blender jug
Blend until smooth

Open in app

"
One Pan Pasta,25mins,2,496,"['200 g (about 13 ⅓)', '100 g (about 3 ¼ cups)', '140 g (about 1)', '3 (about 18 g)', '1 (about 20 g)', '200 g (about ¼ cup)', '2 tbsp (about 27.3 g)', '600 ml (about 600 g)', '50 g (about ¼ cup)', '¼ cup (about 10.8 g)', '1 pinch (about 0.41 g)', '1 pinch (about 0.13 g)']","['200 g (about 13 ⅓)', '100 g (about 3 ¼ cups)', '140 g (about 1)', '3 (about 18 g)', '1 (about 20 g)', '200 g (about ¼ cup)', '2 tbsp (about 27.3 g)', '600 ml (about 600 g)', '50 g (about ¼ cup)', '¼ cup (about 10.8 g)', '1 pinch (about 0.41 g)', '1 pinch (about 0.13 g)']",This one pot wonder sees both pasta and sauce all cooked in the one pan resulting in perfectly al dente spaghetti wrapped in a silky spinach and tomato sauce.,"
Step preview


Add cherry tomatoes, baby spinach, onion, garlic clove, fresh chili, spaghetti, extra virgin olive oil and water to a clean large saucepan
Heat until boiling
Cook while stirring occasionally - 9 min
Stir thoroughly and turn off heat
Add pecorino cheese and fresh basil to the large saucepan
Stir until combined
Season with sea salt and black pepper

Open in app

"
Hummus,10mins,8,123,"['250 g (about ⅔)', '2 (about 12 g)', '1 g (about ½ tsp)', '15 g (about 1 ⅞ tbsp)', '40 g (about 2 ⅜ tbsp)', '30 g (about 2 ¼ tbsp)', '2 g (about ⅜ tsp)', '15 g (about ¼)']","['250 g (about ⅔)', '2 (about 12 g)', '1 g (about ½ tsp)', '15 g (about 1 ⅞ tbsp)', '40 g (about 2 ⅜ tbsp)', '30 g (about 2 ¼ tbsp)', '2 g (about ⅜ tsp)', '15 g (about ¼)']","Middle Eastern chickpea dip. Use for vegetarian sandwiches, as a dip for flatbreads or vegetables, or served as part of a mezze platter.","
Step preview


Add canned chickpeas, garlic clove, ground cumin, sesame seeds, tahini, olive oil, salt and lemon to a clean medium bowl
Blend until smooth

Open in app

"
One Bowl Brownies,38mins,12,339,"['113.5 g (about ¾ cup)', '173 g (about ¾ cup)', '408 g (about 2 cups)', '3 (about 150 g)', '5 g (about 1 ⅛ tsp)', '130 g (about 1 cups)']","['113.5 g (about ¾ cup)', '173 g (about ¾ cup)', '408 g (about 2 cups)', '3 (about 150 g)', '5 g (about 1 ⅛ tsp)', '130 g (about 1 cups)']","Reliable, quick chocolatey brownies - keep 'em minimal or get creative with additions like toasted nuts, chocolate chips, orange zest. The possibilities are endless!","
Step preview


Pre-heat oven - 175°C
Line a clean square pan with parchment paper
Add bittersweet chocolate and salted butter to a clean medium glass bowl
Heat in double boiler until completely melted
Add granulated sugar, egg and vanilla extract to the batter
Stir until combined
Add all purpose flour to the batter
Whisk briefly until just combined
Transfer batter to square pan
Bake - 23 min, 175°C
Let cool

Open in app

"
Quick Chocolate Chip Cookies,25mins,16,222,"['145 g (about ¾ cup)', '54 g (about ¼ cup)', '145 g (about ¾ cup)', '1 (about 50 g)', '5 g (about 1 ⅛ tsp)', '218 g (about 1 ¾ cups)', '5 g (about ¾ tsp)', '5 g (about 1 ⅛ tsp)', '181 g (about 362)']","['145 g (about ¾ cup)', '54 g (about ¼ cup)', '145 g (about ¾ cup)', '1 (about 50 g)', '5 g (about 1 ⅛ tsp)', '218 g (about 1 ¾ cups)', '5 g (about ¾ tsp)', '5 g (about 1 ⅛ tsp)', '181 g (about 362)']",Quick and easy cookies with the perfect hit of melting chocolate.,"
Step preview


Add unsalted butter, granulated sugar and brown sugar to a clean large mixing bowl
Cream until smooth
Add egg and vanilla extract to the dough
Mix until well combined
Add all purpose flour, sea salt and baking soda to the dough
Mix until well blended
Add chocolate chips to the dough
Mix until just combined
Chill in freezer
Pre-heat oven - 175°C
Line a clean baking sheet with parchment paper
Scoop dough onto baking sheet
Bake until golden brown - 11 min, 175°C
Let cool
Serve

Open in app

"
Quick & Easy Meatballs,35mins,8,386,"['1 kg (about 4 ½ cups)', '125 g (about ½ cup)', '30 g (about 3 ⅛ tbsp)', '10 g (about 3 ½ tbsp)', '4 (about 200 g)', '8 g (about 2 tbsp)', '8 g (about 1 ⅓)', '2.5 g (about 1 ⅛ tsp)', '8 g (about 1 ⅜ tsp)']","['1 kg (about 4 ½ cups)', '125 g (about ½ cup)', '30 g (about 3 ⅛ tbsp)', '10 g (about 3 ½ tbsp)', '4 (about 200 g)', '8 g (about 2 tbsp)', '8 g (about 1 ⅓)', '2.5 g (about 1 ⅛ tsp)', '8 g (about 1 ⅜ tsp)']","A simple meatball recipe with minimal cleanup. Perfect for use as a pizza topping, in pasta dishes and in Italian sandwiches.","
Step preview


Pre-heat oven - 190°C
Line a clean baking sheet with parchment paper
Add ground beef, ricotta cheese, parmesan cheese, breadcrumbs, egg, fresh parsley, garlic, black pepper and salt to a clean large mixing bowl
Mix together
Form
Transfer meat to baking sheet
Bake until golden brown - 20 min, 190°C

Open in app

"
"Sausage, Tomato and Scallion Scones",40mins,10,232,"['400 g (about 3 cups)', '¼ tsp (about 1.5 g)', '1 pinch (about 0.13 g)', '400 g (about 1 ¾ cups)', '35 g (about 2 ⅓)', '100 g (about ¾)', '150 g (about 1 ⅓)', '1 (about 50 g)']","['400 g (about 3 cups)', '¼ tsp (about 1.5 g)', '1 pinch (about 0.13 g)', '400 g (about 1 ¾ cups)', '35 g (about 2 ⅓)', '100 g (about ¾)', '150 g (about 1 ⅓)', '1 (about 50 g)']",Quick and satisfying savory scones.  Use your favorite sausage meat.,"
Step preview


Pre-heat oven - 175°C
Prepare a clean baking sheet with parchment paper
Add self raising flour, salt and black pepper to a clean large mixing bowl
Whisk together
Add heavy cream to the dough
Mix until dough forms
Add scallion, tomato and sausage to the dough
Mix together until well combined
Roll out
Cut out
Transfer dough to baking sheet
Add egg to a clean small bowl
Beat
Brush
Bake until golden brown - 25 min, 175°C
Serve

Open in app

"
Guacamole,10mins,5,134,"['420 g (about 2 ½)', '50 g (about ⅓)', '25 g (about ¼)', '3 g (about ½ tsp)', '25 g (about ¾)', '5 g (about 2 ¾ tbsp)']","['420 g (about 2 ½)', '50 g (about ⅓)', '25 g (about ¼)', '3 g (about ½ tsp)', '25 g (about ¾)', '5 g (about 2 ¾ tbsp)']",There's no better use for ripe avocados. We don't advise going off the deep end with guacamole add-ins. Use this simple recipe for guacamole at its best!,"
Step preview


Add avocado, tomato, red onion, sea salt, lime juice and cilantro to a clean medium bowl
Mix until well combined
Serve

Open in app

"
Buttermilk Pancakes,20mins,4,265,"['170 g (about 1 ¼ cups)', '1 tbsp (about 12.75 g)', '½ tsp (about 3 g)', '½ tsp (about 2.5 g)', '¼ tsp (about 1.16 g)', '250 g (about 1 cups)', '1 (about 50 g)', '¼ tsp (about 1.1 g)', '30 g (about 2 ⅛ tbsp)']","['170 g (about 1 ¼ cups)', '1 tbsp (about 12.75 g)', '½ tsp (about 3 g)', '½ tsp (about 2.5 g)', '¼ tsp (about 1.16 g)', '250 g (about 1 cups)', '1 (about 50 g)', '¼ tsp (about 1.1 g)', '30 g (about 2 ⅛ tbsp)']","Is there a better way to start the day than with a short stack of golden, fluffy Buttermilk Pancakes? Probably not.","
Step preview


Add all purpose flour, granulated sugar, salt, baking powder and baking soda to a clean large mixing bowl
Whisk briefly until blended
Add buttermilk, egg and vanilla extract to the batter
Mix until just combined
Add unsalted butter to a clean small bowl
Melt in microwave
Mix content of small bowl into batter
Fry in frying pan - medium heat
Serve immediately

Open in app

"
Banana Bread,1hr 15mins,6,531,"['100 g (about ½ cup)', '200 g (about 1 ⅔)', '2 (about 100 g)', '100 g (about ½ cup)', '130 g (about ¾ cup)', '200 g (about 1 ½ cups)', '10 g (about 2 tsp)', '120 g (about 1 ¼ cups)', '1 ½ tsp (about 3.98 g)']","['100 g (about ½ cup)', '200 g (about 1 ⅔)', '2 (about 100 g)', '100 g (about ½ cup)', '130 g (about ¾ cup)', '200 g (about 1 ½ cups)', '10 g (about 2 tsp)', '120 g (about 1 ¼ cups)', '1 ½ tsp (about 3.98 g)']",This banana pecan loaf is based on a classic recipe with lots of banana flavor and crunchy nuts.,"
Step preview


Pre-heat oven - 160°C
Grease a clean loaf pan
Add unsalted butter to a clean small glass bowl
Melt in microwave then set aside
Add banana, egg, greek yogurt and dark brown sugar to a clean large mixing bowl
Transfer content of small glass bowl to dough
Mix until well combined
Add all purpose flour, baking powder, pecan halves and ground cinnamon to the dough
Fold together until combined
Transfer dough to loaf pan
Bake until skewer tests clean - 55 min, 160°C
Let cool

Open in app

"
Banana Oat Cookies,45mins,7,106,"['1 tbsp (about 13.8 g)', '1 (about 120 g)', '100 g (about ¾ cup)', '2 tbsp (about 42 g)', '1 pinch (about 0.38 g)', '50 g (about 100)', 'as needed']","['1 tbsp (about 13.8 g)', '1 (about 120 g)', '100 g (about ¾ cup)', '2 tbsp (about 42 g)', '1 pinch (about 0.38 g)', '50 g (about 100)', 'as needed']","Healthy, but with a little chocolate chip kick so it still feels like you’re being a bit naughty.

For this recipe, you simply need to mix mashed banana with oats and a little honey and coconut oil.  Then leave the mixture for 10 minutes so the oats can soften and soak up the flavors.  Then throw in the chocolate chips and a pinch of salt and you’re ready to roll the mixture into balls, flatten them out (they don’t spread in the oven, so no worries about cookies melding together or ending up like discs!) and put them in the oven.

The result is a cookie that is golden and a little crispy on the outside, whilst being soft and chewy on the inside.","
Step preview


Pre-heat oven - 170°C
Line a clean baking sheet with parchment paper
Add banana to a clean large mixing bowl
Mash
Add rolled oats, honey and coconut oil to the dough balls
Mix until dough forms
Let rest - 10 min
Add salt to the dough balls
Mix in chocolate chips to the dough balls
Divide into balls
Transfer dough balls to baking sheet
Flatten gently
Bake - 15 min, 170°C
Sprinkle with chocolate chips
Let cool

Open in app

"
Hazelnut Chocolate Linzer Hearts,1hr 38mins,12,337,"['1 cup (about 136.8 g)', '1 cup (about 230.4 g)', '¾ cup (about 145.8 g)', '2 (about 40 g)', '4 g (about ⅞ tsp)', '2 cups (about 259.2 g)', '¾ tsp (about 3.75 g)', '1 g (about ⅛ tsp)', 'as needed']","['1 cup (about 136.8 g)', '1 cup (about 230.4 g)', '¾ cup (about 145.8 g)', '2 (about 40 g)', '4 g (about ⅞ tsp)', '2 cups (about 259.2 g)', '¾ tsp (about 3.75 g)', '1 g (about ⅛ tsp)', 'as needed']",Crunchy nutty heart-shaped cookies - extra-irresistible when stuck together with a spoonful of our Hazelnut Chocolate spread!,"
Step preview


Pre-heat oven - 175°C
Add hazelnuts to a clean small bowl
Transfer nuts to baking sheet
Bake until toasted - 5 min, 175°C
Let cool - 10 min
Wrap with kitchen towel
Grind small bowl and set aside
Add unsalted butter and brown sugar to a clean stand mixer bowl
Cream together until light and fluffy
Add egg yolk and vanilla extract to the dough
Mix well
Add all purpose flour, baking powder and salt to a clean large mixing bowl
Transfer content of small bowl to dry ingredients
Mix together
Transfer dry ingredients to dough
Mix until dough forms
Divide into halves
Wrap with plastic wrap
Chill in fridge - 1 hr
Pre-heat oven - 175°C
Prepare a clean baking sheet on lightly-floured surface
Roll dough until 1/8"" (5mm) thick
Cut out
Transfer dough to baking sheet
Bake until golden brown - 8 min, 175°C
Transfer onto cooling rack
Spread with hazelnut chocolate spread

Open in app

"
Lemon Bars,42mins,30,142,"['240 g (about 1 ¾ cups)', '100 g (about ¾ cup)', '220 g (about 1 cup)', '240 g (about 1 ¼ cups)', '2 (about 116 g)', '4 (about 200 g)', 'as needed']","['240 g (about 1 ¾ cups)', '100 g (about ¾ cup)', '220 g (about 1 cup)', '240 g (about 1 ¼ cups)', '2 (about 116 g)', '4 (about 200 g)', 'as needed']","Deliciously fresh and light lemon bars. This recipe makes 30, so there are plenty to share!","
Step preview


Pre-heat oven - 170°C
Line a clean baking pan with parchment paper
Add all purpose flour and powdered sugar to a clean large mixing bowl
Whisk until combined
Add unsalted butter to the crumbs
Mix until mixture comes together
Press crumbs into baking pan
Bake until light golden - 20 min, 170°C
Add superfine sugar, lemon, all purpose flour and egg to a clean large mixing bowl
Beat until smooth
Pour filling into base
Bake - 160°C
Bake until just set - 25 min, 160°C
Let cool
Cut
Sprinkle with powdered sugar

Open in app

"
Oat Flour Brownies,1hr 5mins,8,392,"['1 ¼ cups (about 210.67 g)', '¾ tsp (about 3.49 g)', '½ tsp (about 0.85 g)', '¾ cup (about 172.8 g)', '1 ½ cups (about 306 g)', '1 cup (about 88.8 g)', '1 tsp (about 6 g)', '1 tbsp (about 13.2 g)', '3 (about 150 g)', '1 ¼ (about 0.62 g)']","['1 ¼ cups (about 210.67 g)', '¾ tsp (about 3.49 g)', '½ tsp (about 0.85 g)', '¾ cup (about 172.8 g)', '1 ½ cups (about 306 g)', '1 cup (about 88.8 g)', '1 tsp (about 6 g)', '1 tbsp (about 13.2 g)', '3 (about 150 g)', '1 ¼ (about 0.62 g)']","I based this recipe on my favorite fudge brownie recipe, but I switched to oatmeal flour. The oatmeal does give a distinct texture — a bit more substantial feeling.","
Step preview


Pre-heat oven - 175°C
Grease a clean square pan
Add gluten-free oats, baking soda and coffee powder to a clean large mixing bowl
Whisk briefly then set aside
Add unsalted butter to a clean saucepan
Melt gently - low heat
Add sugar to the saucepan and mix
Cook and turn off heat - 1 min
Add cocoa powder and salt to the saucepan
Stir until combined
Add vanilla extract to the saucepan
Add egg to the saucepan gradually while whisking
Transfer content of large mixing bowl to saucepan
Stir until combined
Let cool - approx 10 min
Add chocolate chips to the saucepan
Stir briefly until combined
Transfer content of saucepan to square pan
Bake - 30 min, 175°C
Let cool - approx 20 min
Cut into squares

Open in app

"
Peanut Butter Fudge Brownies,2hrs 15mins,9,206,"['1 cup (about 103.2 g)', '1 cup (about 115.2 g)', '2 tbsp (about 11.1 g)', '1 cup (about 148.8 g)', '2 tsp (about 10 g)', '1 pinch (about 0.18 g)', '¼ cup (about 66 g)']","['1 cup (about 103.2 g)', '1 cup (about 115.2 g)', '2 tbsp (about 11.1 g)', '1 cup (about 148.8 g)', '2 tsp (about 10 g)', '1 pinch (about 0.18 g)', '¼ cup (about 66 g)']","All you need is a food processor for this amazing vegan brownie batter. Just press into a pan, spread with peanut butter and chill! No baking required.","
Step preview


Prepare a clean square pan with waxed paper
Add cashew flour, buckwheat flour, cacao powder, medjool dates, hot coffee and kosher salt to a clean large mixing bowl
Blitz together until combined
Transfer batter to square pan and press down
Spread with peanut butter
Chill in fridge until firm
Slice

Open in app

"
